TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB,Y
60.72,60.8,51.33,51.1,85.16,84.9,94.09,94.1,91.93,77.56,60.53,60.89,98.73,23.86,159,-84.09,84.95,83.25,3.243,1.542,78.79,3.791,0.9275,265.5,217.1,8.8,4.6,42.1,37.2,98.7,121.6,8.7,47.5,5.4,125,26.5,83.9,93,89,30.34,8.741,5.704,20,0,113.3,106.7,165.2,127.3,9.3,9.9,50,0,100,46,49,56,27,58.02,79.82,62.3,61.63,26.27,77.84,126.5,cf1
60.48,60.5,50.96,50.8,85.21,85.1,94.25,94.3,92.06,77.52,60.29,60.61,99.74,24.23,160.2,-84.69,85.44,83.75,2.852,1.162,79.7,3.769,0.9328,264.6,215.5,8.6,4.4,42,37.1,99,121.6,8.9,47.2,5.2,125.5,26.2,84.4,96,91,29.44,8.395,5.533,20,0,113.6,107.3,166.2,128.6,9.2,9.9,55,0,100,46,49,56,27,57.98,79.9,62.22,61.46,26.53,68.45,126.3,cf1
60.35,60.3,50.8,50.6,85.25,85.1,94.33,94.3,92.14,77.52,60.12,60.48,99.83,24.14,160.5,-84.84,85.84,83.79,3.221,1.163,80.21,3.763,0.9344,263.6,215.6,8.4,4.4,42,37.1,98.7,121.6,9.1,47,5,125.5,26.5,84.7,95,91,31.04,8.843,5.533,20,0,114.2,108,164.7,127.1,9.2,9.9,55,0,100,46,49,56,27,57.98,80.14,62.14,61.34,26.14,77.31,126,cf1
60.27,60.3,50.76,50.6,85.29,85.1,94.38,94.3,92.18,77.56,60.04,60.44,100.4,24.27,161.4,-85.32,85.5,83.45,3.59,1.531,80.55,3.732,0.9421,265.1,215.7,8.8,4.4,41.8,36.9,98.7,121.6,8.9,47,5.2,125.7,26.5,85,95,91,28.2,7.99,5.533,20,0,114.5,108.6,164.2,127.1,9.4,9.7,55,0,100,46,49,56,27,57.98,79.98,62.09,61.3,26.48,86.15,128.1,cf1
60.19,60.2,50.68,50.4,85.25,84.9,94.42,94.4,92.18,77.48,59.96,60.36,101.1,24.68,162,-85.61,85.42,83.36,3.587,1.53,81.09,3.703,0.9494,264.6,215.5,8.4,4.8,42,37.1,99.2,122.6,9.1,46.8,5,125.2,26.5,86.2,96,92,25.91,7.289,5.448,20,0,114.7,108.8,166.2,129.1,9.3,9.9,55,0,100,46,49,56,27,57.98,79.94,62.01,61.22,26.98,86.09,128.5,cf1
60.11,60.2,50.59,50.4,85.29,84.9,94.46,94.4,92.26,77.48,59.92,60.32,101,24.21,162.8,-86,85.53,83.84,3.591,1.899,81.21,3.703,0.9495,264.4,215.8,8.8,5.1,41.6,36.7,99.5,123.1,9.2,46.8,5,125.7,26.2,86.2,97,93,26.7,7.516,5.363,20,0,114.9,109.2,164.7,127.5,9.3,9.8,55,0,100,46,49,56,27,57.94,80.02,62.01,61.18,26.31,86.18,128.3,cf1
60.11,60.3,50.51,50.4,85.25,85.1,94.46,94.3,92.22,77.52,59.84,60.28,101.5,24.66,161.9,-85.07,86.34,83.91,3.962,1.532,80.94,3.75,0.9375,264.4,215.9,8.5,6.6,41.6,36.9,100.9,126.1,10.6,46.8,5,125.7,24.8,89.2,96,92,27.77,7.785,5.448,20,0,115.1,109.6,164.2,126.8,9.2,10,55,0,100,46,49,56,27,57.98,80.02,61.97,61.14,26.85,95.08,127.3,cf1
60.11,60.3,50.59,50.4,85.21,85.1,94.38,94.3,92.18,77.48,59.84,60.28,101.3,24.27,162.3,-85.3,85.67,83.23,3.965,1.534,80.99,3.719,0.9454,265.1,216.1,8.8,6.4,41.6,36.7,100.7,125.6,10.4,46.8,5.2,126,25.3,88.7,96,91,26.11,7.332,5.533,20,0,115.1,109.8,163.3,126.2,9.2,9.9,55,0,100,46,49,56,27,57.94,79.98,62.01,61.14,26.43,95.15,129.1,cf1
60.15,60.3,50.59,50.4,85.29,85.1,94.46,94.3,92.22,77.52,59.92,60.32,101.3,24.72,162.3,-85.75,85.57,83.52,3.577,1.526,81.38,3.697,0.9511,265.1,214.9,8.9,6.6,41.5,36.6,100.9,126.1,11,46.8,5.2,125.7,24.6,89.4,97,93,26.15,7.344,5.363,20,0,115.3,110.3,164.2,127,8.7,9.9,55,0,100,46,49,56,27,57.94,80.1,62.01,61.18,26.77,85.85,128.7,cf1
60.11,60.3,50.55,50.3,85.29,85.1,94.5,94.4,92.26,77.52,59.92,60.32,101.6,24.68,162.5,-85.62,86.03,84.33,3.596,1.902,81.46,3.713,0.9469,264.7,216.1,8.5,6.5,41.8,36.9,100.9,126.1,10.8,46.8,5.2,125.7,24.9,90,96,92,26.79,7.502,5.448,20,0,115.6,110.3,164.2,127,9.3,10,55,0,100,46,49,56,27,57.94,80.06,62.09,61.22,26.78,86.31,127.3,cf1
60.15,60.3,50.59,50.3,85.29,85.1,94.5,94.3,92.3,77.56,59.92,60.36,101.6,24.23,162.5,-85.15,85.98,83.92,3.963,1.902,81.54,3.707,0.9484,264.6,216,8.8,6.8,41.6,36.7,101.1,126.6,10.6,46.8,5,125.7,24.6,89.2,97,93,26.79,7.504,5.363,20,0,115.6,110.3,165.2,129,9.2,10,55,0,100,46,49,56,27,57.94,80.1,62.09,61.22,26.23,95.12,127.9,cf1
60.15,60.2,50.63,50.4,85.41,86.5,94.54,94.8,92.3,77.48,59.88,60.28,101.8,24.97,165.3,-88.45,85.3,82.88,3.581,1.16,77.38,3.876,0.9072,267.8,215.2,8.5,6.8,42.1,37.2,101.6,127.6,11,46.8,4.5,126,24.4,89.7,90,86,19.18,5.356,5.964,20,0,115.7,110.5,160.8,122.8,8,9.8,30.17,0,100,25,49,56,42,57.98,80.19,62.01,61.22,26.99,85.94,133.5,cf1
58.06,57.9,51.29,50.8,86.39,86,93.15,92.8,90.7,71.01,57.83,58.15,74.51,26.95,217.2,-169.7,60.63,58.58,2.843,0.7922,63.88,3.337,1.054,264.8,214.9,8.1,4.7,42.8,37.9,97.5,119.1,8.1,48.3,5.4,130.1,32.6,81.2,74,71,15.06,5.748,7.328,20,0,115.7,110.7,164.7,125.7,6.8,7,31.17,0,100,25,49,56,29,57.94,76.46,59.23,58.8,34.93,68.24,193.4,cf1
56.75,56.3,50.02,49.5,85.98,85.8,92.61,92.5,90.38,69.91,56.52,56.8,73.11,24.68,225.7,-177.2,60.13,58.09,2.472,0.4251,62.26,3.396,1.035,264.6,214.5,7.3,4.2,42.3,37.4,96.7,117.6,7.8,47.3,5,129.3,32.6,80.2,72,69,16.65,6.478,7.52,20,0,116.2,110.5,165.2,126.7,6.5,6.7,37.18,0,100,25,49,56,25,57.9,78.26,57.84,57.49,29.09,59.32,196.5,cf1
55.73,55.6,49.04,48.8,85.98,85.8,92.57,92.5,90.5,69.42,55.5,55.81,73.03,22.99,233.6,-183.6,59.77,57.72,2.838,0.7911,62.5,3.363,1.046,266,214.5,6.7,4.2,42.1,37.2,96.7,117.6,8.1,46.8,4.5,128.2,31.5,80.1,72,69,15.86,6.177,7.52,20,0,116.2,110.9,163.3,124.9,6.7,6.8,43.18,0,100,25,49,56,25,57.94,79.28,57.14,56.59,25.85,68.11,200.3,cf1
55.44,55.8,49.24,49.3,85.45,84.9,91.63,91.2,89.84,69.21,55.37,55.73,68.79,19.9,229.6,-180.7,56.08,55.49,3.244,2.654,59.49,3.315,1.061,267.1,217.2,7.8,4.3,41.5,36.6,95.5,115.2,7,47.2,5.7,129,34,78.1,69,66,14.79,6.113,7.814,20,0,116.2,110.7,164.2,127,6.1,6.5,44.19,0,100,25,49,56,22,57.94,79.28,57.02,56.43,22.38,77.85,202.6,cf1
55.69,55.8,49.36,49.5,85.33,85.3,91.51,91.4,89.76,69.21,55.58,55.9,68.89,19.47,229.1,-179.6,56.63,55.68,2.845,1.894,59.75,3.332,1.055,267.5,215,7.5,4.3,41.8,36.9,95.7,115.6,7.5,47,5.2,129.6,33.9,78.7,69,66,16.63,6.864,7.814,20,0,116.4,111.1,163.8,125.3,6.1,6.3,40.2,0,100,25,49,56,22,57.94,80.23,57.18,56.63,20.97,68.29,202.5,cf1
55.69,56,49.28,49.3,85.45,85.3,91.63,91.4,89.93,69.21,55.5,55.86,68.78,18.99,230.5,-180.7,57.26,55.58,3.206,1.524,60.18,3.345,1.051,267.1,214.7,7.5,4.6,41.8,36.9,96,116.1,7.5,47,5,129.3,33,78.5,70,67,19.68,8.137,7.715,20,0,116.4,111.1,162.3,124.4,6,6.7,46.2,0,100,25,49,56,22,57.98,80.39,57.18,56.59,20.33,76.95,202.7,cf1
55.69,55.8,49.28,49.3,85.53,85.4,91.67,91.6,89.97,69.21,55.5,55.81,68.57,19.05,231.8,-182.3,57.54,55.85,2.854,1.164,60.17,3.362,1.046,268,215.7,7.5,4.4,42,37.1,95.7,115.6,7.7,47,5,129,33.6,79.2,70,67,21.39,8.872,7.715,20,0,116.7,111.1,165.7,127.8,6.3,6.3,47.21,0,100,25,49,56,25,57.98,80.39,57.26,56.63,20.41,68.5,203.4,cf1
55.69,55.8,49.32,49.3,85.49,85.4,91.67,91.6,89.93,69.21,55.54,55.86,68.63,19.4,230,-180.8,57.11,55.79,2.851,1.53,60.23,3.334,1.054,266.5,215.5,7.5,4.4,42,37.1,95.7,116.1,7.5,47,5,129,33.3,79.2,70,67,19.74,8.18,7.715,20,0,116.9,111.3,162.3,124.1,6.2,6.3,48.21,0,100,25,49,56,25,57.98,80.31,57.3,56.63,20.85,68.42,201.8,cf1
55.64,56,49.28,49.1,85.49,85.3,91.67,91.6,89.97,69.25,55.5,55.86,68.84,19,230.7,-180.9,57.17,55.84,3.222,1.899,60.06,3.347,1.051,267.3,215.7,7.1,4.4,42,37.1,96,116.1,7.8,47.2,5.2,129,33.3,79,70,67,19.02,7.858,7.715,20,0,116.9,111.3,162.8,124.4,6.2,6.9,49.22,0,100,25,49,56,22,58.02,80.27,57.39,56.67,20.5,77.32,202.6,cf1
55.73,55.8,49.32,49.3,85.49,85.3,91.67,91.7,89.97,69.29,55.58,55.9,68.53,18.91,229.2,-179.6,57.93,56.6,2.874,1.542,59.94,3.398,1.035,266.1,217.2,7.3,4,42,37.1,95.7,115.6,7.8,47,5.2,128.7,33.3,79,70,67,22.68,9.413,7.715,20,0,116.7,111.1,164.2,126.3,6.4,6.5,50.22,0,100,25,49,56,22,57.98,80.06,57.39,56.75,20.56,68.97,200.4,cf1
55.73,55.8,49.32,49.3,85.53,85.4,91.71,91.6,89.97,69.29,55.54,55.9,69.28,19.58,231.7,-182,57.25,55.56,3.205,1.523,60.15,3.346,1.051,269,214.6,7.3,4.4,42,37.1,96,116.1,7.5,47,5.2,129,33.3,79.2,70,67,17.83,7.32,7.715,20,0,116.9,111.3,162.3,124.3,6.2,6.5,51.23,0,100,25,49,56,25,58.02,80.27,57.43,56.71,21.13,76.93,204.5,cf1
55.77,55.8,49.36,49.3,85.53,85.4,91.71,91.6,89.97,69.33,55.58,55.94,68.83,19.46,229.8,-180.4,57.55,55.86,3.223,1.532,60.19,3.362,1.046,267.3,215.7,7.5,4.1,42,37.1,95.7,115.6,7.5,47.2,5.2,129,33.6,78.7,70,67,20.51,8.475,7.715,20,0,116.9,111.3,164.2,126.3,6.2,6.3,52.23,0,100,25,49,56,25,58.02,80.43,57.43,56.8,20.84,77.35,202.3,cf1
55.77,56,49.36,49.5,85.49,85.4,91.67,91.4,89.97,69.25,55.58,55.9,68.65,18.95,230.1,-180.4,57.75,56.05,2.865,1.167,60.11,3.378,1.041,266.6,216.5,7.5,4.4,42,37.1,95.7,115.6,7.7,47.2,5,129,33.3,79.2,70,67,21.79,9.029,7.715,20,0,116.9,111.6,162.8,124.8,6.1,6.5,48.24,0,100,25,49,56,25,58.06,80.14,57.51,56.8,20.59,68.75,201.6,cf1
55.73,55.8,49.32,49.3,85.49,85.3,91.67,91.6,89.93,69.21,55.54,55.9,68.77,19.44,230.5,-181.1,57.47,55.78,3.218,1.529,60.18,3.357,1.047,267,215.4,7.3,4.3,42,37.1,95.7,116.1,7.7,47.2,5.2,128.7,33.6,79,70,67,20.44,8.455,7.715,20,0,117.1,111.6,164.7,126.7,6.4,6.5,54.25,0,100,25,49,56,22,58.02,80.06,57.59,56.8,21.17,77.23,202.4,cf1
55.81,55.8,49.36,50.3,85.66,86.8,91.51,89.4,89.97,69.25,55.58,55.94,65.62,17.29,232.2,-183.9,57.64,55.59,3.208,1.158,32.89,6.163,0.5705,269,214.7,2.7,0,47.9,43.2,89.4,103.2,1.6,48,0,129.6,40,60.5,37,36,4.853,2.104,11.53,20,0,117.1,111.6,164.2,119.9,2.6,5.2,0,0,100,15,49,56,41.66,58.06,79.94,57.67,57,18.97,76.98,204.6,cf1
56.34,56.6,52.6,52.7,84.47,84.3,88.32,88.2,86.94,65.2,56.32,56.59,42.83,15.35,242,-214.6,33.57,33.35,2.483,2.264,44.64,2.644,1.33,267.2,215.4,9.2,2.8,43.5,38.7,91,106.2,5.2,50.6,7.1,140.4,49.4,67.9,51,49,12.07,8.017,9.675,20,0,117.4,111.6,162.8,123,3.7,3.9,0,0,100,15,49,56,14.59,58.06,79.16,56.85,56.84,17.46,59.59,230.4,cf1
56.42,56.8,52.64,52.8,85.12,84.9,88.93,88.7,87.67,65.2,56.44,56.67,42.26,13.94,249.5,-221.2,33.93,34.08,2.115,2.264,44.66,2.671,1.316,266.5,215.3,9,2.7,43.8,39,91.5,106.7,5.7,50.9,7.3,142.6,50.8,67.5,52,50,15.37,10.35,9.553,20,0,118.1,111.8,162.3,122.5,3.7,4,0,0,100,15,49,56,17.52,58.06,81.21,56.85,56.84,14.46,50.75,230.1,cf1
56.05,55.8,52.44,52,86.15,86.1,89.75,89.8,88.12,63.89,55.91,56.02,40.26,18.16,270.9,-248.8,32.59,31.26,1.017,-0.3087,44.92,2.551,1.378,268.3,216.2,7.7,2.4,44.3,39.5,92.2,108.7,5.7,50.9,6.6,144,51.4,68.7,52,50,17.96,12.69,9.553,20,0,118.3,112,163.8,123.5,3.7,3.8,25,0,100,5,49,56,24,58.1,80.64,56.32,56.3,19.34,24.4,237.3,cf1
54.74,54.4,51.17,50.9,86.11,86,89.79,89.4,88.08,62.33,54.56,54.75,41,18.99,286.7,-264.7,31.97,30.29,1.74,0.05864,44.62,2.519,1.396,267.2,214.5,7.2,2.6,43.6,38.8,92,108.2,5.1,50,6.4,144.7,52.6,69.9,51,49,12.85,8.914,9.675,20,0,119.2,112.4,162.8,123.2,3.6,3.6,35,0,100,5,49,56,24,58.15,78.47,54.93,54.99,22.43,41.75,239,cf1
53.76,53.4,50.18,50.1,86.02,86,89.63,89.6,88,61.51,53.61,53.85,40.08,18.07,294.8,-272.8,31.81,30.5,2.096,0.7873,44.52,2.512,1.4,267.1,213.4,6.4,2.1,43.6,38.8,91.5,107.2,4.7,49.3,5.7,144.7,52.8,69.2,52,50,15.46,10.97,9.553,20,0,119.7,112.9,161.3,121.3,3.6,3.4,40,0,100,5,49,56,24,58.1,79.24,54.85,54.42,20.52,50.3,239.4,cf1
53.43,53.9,50.51,50.8,85.41,84.8,88.56,87.8,87.39,61.23,53.33,53.73,35.39,13.19,293.9,-271.7,26.16,25.21,3.577,2.625,41.48,2.217,1.586,269.6,214.9,6.8,2.4,44.1,39.3,90.2,104.7,4.2,50,6,146.5,56.4,65,48,46,9.02,7.248,10.06,20,0,119.9,113.1,162.3,122,3.1,3,35,0,100,5,49,56,14,58.06,79.2,54.68,54.26,14.97,85.84,246.5,cf1
54.09,54.2,51,51.1,85.37,85.1,88.64,88.5,87.39,61.6,53.94,54.3,36.7,14.08,289.1,-266.5,27.87,26.54,3.239,1.909,44.85,2.185,1.609,269,216.8,7.6,2.5,43.6,38.8,91,106.2,5,50.1,6.6,148.7,57.7,67.4,49,47,13.83,10.72,9.926,20,0,120.2,113.6,162.8,123.8,3.4,3,30,0,100,5,49,56,17,58.1,80.72,55.38,54.87,14.94,77.73,244.3,cf1
54.01,53.9,50.72,50.6,85.78,85.6,89.13,89,87.8,61.55,53.82,54.14,37.44,14.92,292.8,-270.3,29.66,27.97,2.863,1.167,42.77,2.439,1.442,267.8,216.4,6.8,2.2,43.8,39,91.2,106.7,5.4,50,6.2,147.2,56,67.5,50,48,15.42,11.71,9.8,20,0,120.7,113.8,162.8,122.5,3.4,3.3,35,0,100,5,49,56,20,58.1,80.31,55.22,54.75,16.13,68.71,242.2,cf1
53.92,53.9,50.68,50.8,85.66,85.4,89.01,88.7,87.67,61.55,53.78,54.05,37.44,14.93,291.5,-268.9,29.12,27.8,2.479,1.159,42.48,2.41,1.459,267.8,215.1,7.3,2.3,43.6,38.8,91,106.2,4.7,49.8,6.3,147.2,56.6,67.4,49,47,13.22,10.04,9.926,20,0,120.9,114.2,159.8,120,3.4,3.1,35,0,100,5,49,56,20,58.15,80.02,55.13,54.67,16.37,59.49,242.3,cf1
53.88,53.9,50.68,50.6,85.62,85.4,88.97,88.9,87.67,61.55,53.78,54.05,37.34,14.43,290.7,-267.8,28.67,27.72,2.471,1.522,42.59,2.367,1.486,267.1,214.5,6.8,2.1,43.6,39,91.2,106.7,5.1,49.8,6,147.6,56,67.4,49,47,12.1,9.213,9.926,20,0,121.2,114.5,161.8,122.3,3.5,3.3,35,0,100,5,49,56,20,58.15,80.23,55.13,54.67,15.68,59.31,241.6,cf1
53.88,53.9,50.59,50.6,85.57,85.4,88.97,88.7,87.63,61.51,53.7,54.01,37.73,14.86,290.2,-267.3,29.28,27.6,2.826,1.152,42.59,2.417,1.455,266.6,213.6,7,2.3,43.6,38.8,91.2,106.7,4.9,50,6.2,147.6,56.6,67.7,49,47,12.86,9.691,9.926,20,0,122,114.5,163.3,123.3,3.6,3.3,35,0,100,5,49,56,20,58.15,79.98,55.09,54.63,16.33,67.82,241.3,cf1
53.84,53.9,50.55,50.6,85.62,85.3,88.97,88.7,87.67,61.51,53.7,53.97,37.44,14.47,291.9,-268.9,29.61,28.28,2.489,1.165,42.65,2.441,1.441,267.8,216,6.8,2,43.8,39,90.7,105.7,5.1,49.8,6.2,147.2,56.4,67.7,49,47,15.12,11.48,9.926,20,0,122.2,114.9,161.8,121.8,3.4,3.3,35,0,100,5,49,56,17,58.15,80.23,55.05,54.58,15.72,59.73,241.8,cf1
53.8,53.9,50.47,50.4,85.66,85.4,88.97,88.7,87.67,61.47,53.61,53.93,37.27,14.58,294.6,-271.9,29.88,28.19,2.848,1.161,42.58,2.467,1.425,269.8,215.3,6.8,2.3,43.8,39,91,106.2,4.9,49.8,6.2,147.6,56.2,66.9,49,47,16.61,12.68,9.926,20,0,122.2,115.1,161.8,122.7,3.3,3.2,40,0,100,5,49,56,20,58.15,80.1,54.97,54.5,15.93,68.35,244,cf1
53.76,53.9,50.51,50.6,85.62,85.3,88.97,88.7,87.59,61.43,53.65,53.93,37.41,15.37,291.7,-269.6,29.24,28.28,2.488,1.533,42.64,2.411,1.458,267.6,215.9,6.8,2,43.6,38.8,90.7,105.7,4.9,49.8,6,147.6,56.5,67.7,49,47,13.9,10.56,9.926,20,0,122.2,115.1,162.8,123,3.3,3.5,35,0,100,5,49,56,17,58.15,80.06,55.01,54.54,16.83,59.72,241.6,cf1
53.76,53.9,50.47,50.4,85.49,83.8,88.93,88,87.59,61.43,53.61,53.89,38.44,14.96,292.6,-269.1,29.35,28.03,2.467,1.154,45.66,2.26,1.556,268.4,214.1,7.5,1.6,43.2,38.3,89.6,103.7,3.3,49.6,6.5,147.2,57.6,64.7,50,48,13.68,10.12,9.8,20,0,122.7,115.3,162.3,123,4.5,3.3,30,0,100,26.03,49,56,18.48,58.15,80.1,54.93,54.46,16.35,59.2,242.7,cf1
56.14,56.6,50.8,50.3,82.01,81.8,87.46,87.8,85.83,67.86,56.11,56.43,61.18,18.25,202,-159,48.14,47.92,2.864,2.645,57.06,2.966,1.185,269.7,216.5,7.5,4.2,42.8,38,92.5,109.2,8.2,48.7,5.8,137.8,44.9,70.2,65,62,11.2,5.208,8.219,20,0,122.7,115.6,162.3,123.3,6,6.2,30,0,100,32.24,49,56,26.38,58.19,78.26,57.43,56.92,21.82,68.74,205.7,cf1
